DayOfWeek,Period,NbrAppliances,Hour,KWH-6,KWH-5,KWH-4,KWH-3,KWH-2,KWH-1,KWH
5,1,2,1,0,0.002,0.088,0.111,0.109,0.075,0.084
5,1,2,2,0.002,0.088,0.111,0.109,0.075,0.084,0.101
5,1,2,3,0.088,0.111,0.109,0.075,0.084,0.101,0.089
5,1,2,4,0.111,0.109,0.075,0.084,0.101,0.089,0.097
5,1,2,5,0.109,0.075,0.084,0.101,0.089,0.097,0.114
5,1,2,6,0.075,0.084,0.101,0.089,0.097,0.114,0.104
5,2,2,1,0.084,0.101,0.089,0.097,0.114,0.104,0.081
5,2,2,2,0.101,0.089,0.097,0.114,0.104,0.081,0.115
5,2,3,3,0.089,0.097,0.114,0.104,0.081,0.115,0.155
5,2,3,4,0.097,0.114,0.104,0.081,0.115,0.155,1.295
5,2,3,5,0.114,0.104,0.081,0.115,0.155,1.295,0.129
5,2,2,6,0.104,0.081,0.115,0.155,1.295,0.129,0.16
5,3,2,1,0.081,0.115,0.155,1.295,0.129,0.16,0.143
5,3,2,2,0.115,0.155,1.295,0.129,0.16,0.143,0.132
5,3,3,3,0.155,1.295,0.129,0.16,0.143,0.132,0.145
5,3,2,4,1.295,0.129,0.16,0.143,0.132,0.145,0.112
5,3,2,5,0.129,0.16,0.143,0.132,0.145,0.112,0.081
5,3,3,6,0.16,0.143,0.132,0.145,0.112,0.081,0.114
5,4,2,1,0.143,0.132,0.145,0.112,0.081,0.114,0.108
5,4,3,2,0.132,0.145,0.112,0.081,0.114,0.108,0.089
5,4,3,3,0.145,0.112,0.081,0.114,0.108,0.089,1.27
5,4,3,4,0.112,0.081,0.114,0.108,0.089,1.27,0.134
5,4,3,5,0.081,0.114,0.108,0.089,1.27,0.134,0.082
5,4,2,6,0.114,0.108,0.089,1.27,0.134,0.082,0.101
6,1,2,1,0.108,0.089,1.27,0.134,0.082,0.101,0.085
6,1,2,2,0.089,1.27,0.134,0.082,0.101,0.085,0.096
6,1,3,3,1.27,0.134,0.082,0.101,0.085,0.096,0.082
6,1,2,4,0.134,0.082,0.101,0.085,0.096,0.082,0.108
6,1,3,5,0.082,0.101,0.085,0.096,0.082,0.108,0.113
6,1,2,6,0.101,0.085,0.096,0.082,0.108,0.113,0.072
6,2,3,1,0.085,0.096,0.082,0.108,0.113,0.072,0.115
6,2,3,2,0.096,0.082,0.108,0.113,0.072,0.115,0.115
6,2,1,3,0.082,0.108,0.113,0.072,0.115,0.115,0.073
6,2,3,4,0.108,0.113,0.072,0.115,0.115,0.073,0.114
6,2,2,5,0.113,0.072,0.115,0.115,0.073,0.114,0.114
6,2,1,6,0.072,0.115,0.115,0.073,0.114,0.114,0.088
6,3,2,1,0.115,0.115,0.073,0.114,0.114,0.088,0.161
6,3,3,2,0.115,0.073,0.114,0.114,0.088,0.161,0.156
