KWH-6,KWH-5,KWH-4,KWH-3,KWH-2,KWH-1,KWH
0,0.002,0.088,0.111,0.109,0.075,0.084
0.002,0.088,0.111,0.109,0.075,0.084,0.101
0.088,0.111,0.109,0.075,0.084,0.101,0.089
0.111,0.109,0.075,0.084,0.101,0.089,0.097
0.109,0.075,0.084,0.101,0.089,0.097,0.114
0.075,0.084,0.101,0.089,0.097,0.114,0.104
0.084,0.101,0.089,0.097,0.114,0.104,0.081
0.101,0.089,0.097,0.114,0.104,0.081,0.115
0.089,0.097,0.114,0.104,0.081,0.115,0.155
0.097,0.114,0.104,0.081,0.115,0.155,1.295
0.114,0.104,0.081,0.115,0.155,1.295,0.129
0.104,0.081,0.115,0.155,1.295,0.129,0.16
0.081,0.115,0.155,1.295,0.129,0.16,0.143
0.115,0.155,1.295,0.129,0.16,0.143,0.132
0.155,1.295,0.129,0.16,0.143,0.132,0.145
1.295,0.129,0.16,0.143,0.132,0.145,0.112
0.129,0.16,0.143,0.132,0.145,0.112,0.081
0.16,0.143,0.132,0.145,0.112,0.081,0.114
0.143,0.132,0.145,0.112,0.081,0.114,0.108
0.132,0.145,0.112,0.081,0.114,0.108,0.089
0.145,0.112,0.081,0.114,0.108,0.089,1.27
0.112,0.081,0.114,0.108,0.089,1.27,0.134
0.081,0.114,0.108,0.089,1.27,0.134,0.082
0.114,0.108,0.089,1.27,0.134,0.082,0.101
0.108,0.089,1.27,0.134,0.082,0.101,0.085
0.089,1.27,0.134,0.082,0.101,0.085,0.096
1.27,0.134,0.082,0.101,0.085,0.096,0.082
0.134,0.082,0.101,0.085,0.096,0.082,0.108
0.082,0.101,0.085,0.096,0.082,0.108,0.113
0.101,0.085,0.096,0.082,0.108,0.113,0.072
0.085,0.096,0.082,0.108,0.113,0.072,0.115
0.096,0.082,0.108,0.113,0.072,0.115,0.115
0.082,0.108,0.113,0.072,0.115,0.115,0.073
0.108,0.113,0.072,0.115,0.115,0.073,0.114
0.113,0.072,0.115,0.115,0.073,0.114,0.114
0.072,0.115,0.115,0.073,0.114,0.114,0.088
0.115,0.115,0.073,0.114,0.114,0.088,0.161
0.115,0.073,0.114,0.114,0.088,0.161,0.156
0.073,0.114,0.114,0.088,0.161,0.156,0.117
0.114,0.114,0.088,0.161,0.156,0.117,0.15
0.114,0.088,0.161,0.156,0.117,0.15,0.14
0.088,0.161,0.156,0.117,0.15,0.14,0.078
0.161,0.156,0.117,0.15,0.14,0.078,0.109
0.156,0.117,0.15,0.14,0.078,0.109,0.112
0.117,0.15,0.14,0.078,0.109,0.112,0.079
0.15,0.14,0.078,0.109,0.112,0.079,0.105
0.14,0.078,0.109,0.112,0.079,0.105,0.112
0.078,0.109,0.112,0.079,0.105,0.112,0.085
0.109,0.112,0.079,0.105,0.112,0.085,0.073
0.112,0.079,0.105,0.112,0.085,0.073,0.098
0.079,0.105,0.112,0.085,0.073,0.098,0.093
0.105,0.112,0.085,0.073,0.098,0.093,0.09
0.112,0.085,0.073,0.098,0.093,0.09,0.51
0.085,0.073,0.098,0.093,0.09,0.51,0.859
0.073,0.098,0.093,0.09,0.51,0.859,0.089
0.098,0.093,0.09,0.51,0.859,0.089,0.116
0.093,0.09,0.51,0.859,0.089,0.116,0.109
0.09,0.51,0.859,0.089,0.116,0.109,0.081
0.51,0.859,0.089,0.116,0.109,0.081,0.112
0.859,0.089,0.116,0.109,0.081,0.112,0.121
0.089,0.116,0.109,0.081,0.112,0.121,0.889
0.116,0.109,0.081,0.112,0.121,0.889,0.246
0.109,0.081,0.112,0.121,0.889,0.246,0.239
0.081,0.112,0.121,0.889,0.246,0.239,1.688
0.112,0.121,0.889,0.246,0.239,1.688,1.464
0.121,0.889,0.246,0.239,1.688,1.464,0.486
0.889,0.246,0.239,1.688,1.464,0.486,0.088
